2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
135.768618,23.16,17.547,18.616,20.269,54.604,25.592,32.126,70.114,30.098,38.55,0.736,0.608,2.561,102.618
141.3623501,22.569,16.507,18.078,18.616,43.893,27.484,45.475,70.114,30.098,40.803,0.736,0.385,5.278,102.618
144.5582924,21.406,15.493,17.547,17.547,37.811,30.098,46.275,74.005,29.435,40.803,1.914,0.136,6.253,108.357
150.0662353,22.569,14.508,17.547,16.507,33.51,30.098,47.081,82.06,30.098,43.111,2.336,0.136,5.595,114.23
158.0181856,20.834,14.508,16.507,15.493,30.768,23.16,47.081,74.005,42.336,46.275,2.561,0.385,6.943,123.905
174.3142234,28.778,13.551,15.996,14.508,26.847,24.363,55.47,68.202,42.336,48.711,2.794,1.351,21.984,132.65
184.7233268,34.211,13.083,15.493,14.508,27.484,23.758,63.524,64.448,44.681,46.275,2.794,3.287,47.081,141.652
186.0898561,43.893,13.551,15.493,14.508,29.435,22.569,64.448,64.448,45.475,45.475,3.287,4.668,48.711,142.959
184.8433547,45.475,15.493,15.493,14.508,26.216,22.569,47.081,64.448,46.275,45.475,3.814,5.92,57.219,142.959
173.5370942,48.711,17.547,15.493,22.569,25.592,26.216,44.681,69.155,45.475,46.275,4.375,6.253,57.219,144.271
172.5309097,74.005,18.078,15.996,28.128,23.16,24.363,45.475,67.255,41.566,46.275,5.278,6.943,66.314,144.271
200.0468263,69.155,17.547,16.507,26.216,21.984,24.363,47.081,63.524,30.768,46.275,30.098,10.852,66.314,145.588
211.788129,70.114,20.834,18.616,25.592,20.834,26.847,49.535,62.606,30.098,52.89,32.126,10.852,71.078,146.91
237.4911977,71.078,23.758,17.024,24.363,21.406,26.847,50.365,55.47,30.098,65.378,32.815,11.284,75.985,160.419
259.2057788,71.078,21.406,15.493,30.098,19.711,28.128,48.711,49.535,30.768,73.024,38.55,11.723,77.988,186.021
296.934018,69.155,20.834,14.508,23.16,19.16,28.128,47.081,47.081,30.768,75.985,57.219,8.803,78.997,207.06
335.6584541,65.378,19.711,14.026,20.834,29.435,30.768,47.081,53.744,30.768,82.06,72.048,2.121,77.988,238.797
312.0368199,64.448,18.616,14.508,28.128,36.352,37.811,47.081,62.606,30.768,70.114,72.048,1.914,81.034,242.078
294.6723849,74.005,18.078,14.997,35.632,34.918,41.566,48.711,69.155,30.098,70.114,74.005,1.914,81.034,194.918
306.9702121,76.984,17.547,14.997,36.352,37.811,40.803,50.365,75.985,30.098,75.985,74.993,2.121,82.06,197.924
321.0729269,80.013,17.547,14.508,38.55,37.078,42.336,60.787,93.72,29.435,83.092,81.034,2.336,83.092,199.434
324.4090358,80.013,17.547,14.508,43.893,36.352,42.336,68.202,113.044,28.128,90.473,83.092,3.036,83.092,193.423
325.1953891,82.06,20.269,14.508,50.365,32.126,42.336,75.985,116.617,27.484,99.24,83.092,7.664,86.222,186.021
335.5127539,84.13,23.16,13.551,46.275,32.126,36.352,74.005,127.621,26.216,102.618,85.173,11.284,86.222,203.995
355.9541855,89.402,28.128,13.083,46.275,32.126,43.893,70.114,157.676,24.974,95.912,86.222,12.623,86.222,380.841
326.0290406,87.277,40.803,13.551,47.893,33.51,53.744,74.005,156.312,23.758,88.337,87.277,17.547,88.337,376.844
296.3025817,84.13,37.811,13.551,55.47,37.811,51.201,64.448,131.385,28.778,77.988,78.997,40.803,88.337,357.139
280.5021166,82.06,37.811,13.083,48.711,37.811,68.202,63.524,132.65,34.918,77.988,66.314,73.024,88.337,279.443
252.5361596,86.222,50.365,18.078,57.219,40.803,71.078,64.448,156.312,40.803,76.984,65.378,75.985,102.618,281.197
370.5187524,92.632,48.711,31.444,58.102,43.893,72.048,67.255,161.798,42.336,94.813,78.997,76.984,290.035,279.443
394.5169145,95.912,56.341,26.847,58.991,52.043,72.048,72.048,164.571,40.046,117.818,99.24,76.984,313.568,130.125
478.4535776,103.755,59.886,25.592,60.787,67.255,74.005,75.985,165.966,40.046,160.419,113.044,73.024,311.73,127.621
527.7740737,113.044,58.102,24.974,58.991,71.078,77.988,80.013,167.365,40.803,175.869,126.377,61.694,320.969,122.677
509.9837785,117.818,58.991,24.974,67.255,74.005,77.988,75.985,173.015,41.566,167.365,131.385,60.787,328.444,125.139
510.974575,114.23,57.219,30.098,72.048,95.912,75.985,74.993,181.64,44.681,160.419,140.35,65.378,330.325,127.621
543.3990162,113.044,59.886,43.893,72.048,106.045,74.005,86.222,184.556,43.111,184.556,126.377,74.993,334.1,140.35
574.389234,102.618,58.991,50.365,72.048,92.632,88.337,86.222,186.021,43.111,202.47,127.621,77.988,311.73,184.556
579.3701527,100.361,63.524,57.219,76.984,98.125,92.632,84.13,211.696,43.893,187.491,126.377,84.13,343.618,330.325
508.2425152,99.24,66.314,60.787,85.173,108.357,86.222,94.813,355.193,52.89,173.015,123.905,86.222,330.325,311.73
552.6321493,108.357,70.114,52.043,84.13,108.357,81.034,141.652,339.797,55.47,202.47,116.617,203.995,311.73,302.608
536.6101784,156.312,66.314,52.043,75.985,106.045,84.13,117.818,308.067,59.886,197.924,91.55,161.798,302.608,286.486
542.9434343,187.491,64.448,48.711,74.005,148.238,99.24,145.588,242.078,61.694,187.491,75.985,146.91,304.423,275.951
543.1031264,211.696,64.448,58.102,72.048,115.421,122.677,119.025,210.146,57.219,183.095,81.034,161.798,304.423,275.951
559.6245081,205.525,72.048,65.378,74.005,111.864,139.054,152.252,210.146,56.341,194.918,85.173,170.18,306.243,282.955
543.4472256,200.95,90.473,71.078,75.985,110.69,137.762,159.045,205.525,57.219,197.924,88.337,159.045,311.73,304.423
620.1633863,230.679,80.013,70.114,88.337,108.357,122.677,156.312,194.918,57.219,219.52,120.237,139.054,313.568,343.618
746.9814711,250.366,92.632,65.378,86.222,106.045,120.237,156.312,159.045,57.219,267.303,168.77,132.65,326.568,359.088
928.1668755,281.197,89.402,64.448,85.173,99.24,114.23,156.312,142.959,54.604,353.253,190.447,120.237,345.536,353.253
870.3456435,267.303,91.55,68.202,94.813,97.016,116.617,159.045,233.912,67.255,334.1,194.918,114.23,355.193,353.253
851.6962737,257.083,91.55,70.114,110.69,95.912,108.357,173.015,330.325,93.72,347.458,196.419,114.23,359.088,332.21
799.563951,248.699,106.045,74.005,127.621,113.044,127.621,187.491,388.888,84.13,335.994,197.924,114.23,378.84,335.994
785.0422375,237.164,113.044,92.632,139.054,149.571,48.711,184.556,284.718,84.13,335.994,186.021,114.23,394.971,353.253
794.0823948,230.679,123.905,77.988,164.571,137.762,153.6,184.556,149.571,103.755,363.002,161.798,120.237,386.869,355.193
,,,,,,,,,,,,,,
748.6078743,214.81,127.621,170.18,205.525,133.92,135.196,194.918,154.954,106.045,380.841,145.588,119.025,399.049,364.966
645.2613182,202.47,141.652,174.439,199.434,115.421,126.377,200.95,160.419,86.222,343.618,122.677,120.237,399.049,390.911
696.5985175,200.95,142.959,159.045,137.762,70.114,108.357,202.47,149.571,74.005,341.705,117.818,126.377,394.971,397.008
745.7992071,196.419,132.65,170.18,130.125,99.24,101.487,194.918,141.652,92.632,343.618,111.864,159.045,397.008,453.708
795.0762589,197.924,122.677,170.18,117.818,108.357,102.618,290.035,154.954,94.813,343.618,109.52,146.91,419.711,473.334
763.2074853,233.912,145.588,142.959,99.24,117.818,102.618,306.243,161.798,75.985,335.994,107.198,145.588,430.212,388.888
749.4310422,243.726,181.64,164.571,101.487,148.238,122.677,293.604,164.571,71.078,335.994,102.618,144.271,430.212,525.116
683.497094,253.715,173.015,173.015,127.621,145.588,150.909,320.969,163.182,66.314,317.259,91.55,145.588,399.049,529.729
541.3417746,211.696,184.556,175.869,164.571,108.357,290.035,339.797,164.571,58.102,267.303,91.55,148.238,388.888,536.68
485.3380351,196.419,171.595,159.045,187.491,113.044,247.036,359.088,184.556,74.005,253.715,81.034,148.238,388.888,534.359
343.4718875,184.556,175.869,161.798,355.193,117.818,326.568,284.718,214.81,75.985,300.798,80.013,149.571,378.84,539.006
257.6370353,196.419,224.273,205.525,374.853,137.762,345.536,300.798,238.797,71.078,302.608,78.997,159.045,374.853,541.337
441.0452702,200.95,205.525,199.434,230.679,125.139,361.043,447.246,217.945,69.155,275.951,77.988,170.18,374.853,541.337
655.4435111,190.447,186.021,198.4139135,196.419,120.237,298.992,598.567,200.95,68.202,275.951,227.466,173.015,368.907,553.054
586.0012053,216.375,175.869,185.8410445,257.083,109.52,274.212,493.319,187.491,69.155,270.748,240.435,184.556,370.885,553.054
634.5052932,225.867,164.571,173.1205981,222.684,110.69,242.078,347.458,164.571,76.984,258.774,253.715,197.924,374.853,564.879
647.9156405,202.47,156.312,188.5110706,224.273,145.588,257.083,574.418,184.556,82.06,258.774,240.435,202.47,349.385,564.879
625.08296,274.212,156.312,166.2635435,240.435,199.434,250.366,390.911,208.6,80.013,255.396,232.293,210.146,339.797,569.64
725.0324899,502.316,148.238,132.7955002,237.164,203.995,243.726,347.458,229.07,94.813,257.083,290.035,202.47,335.994,574.418
709.5019489,432.326,145.588,200.95,247.036,205.525,240.435,308.067,250.366,113.044,258.774,298.992,173.015,335.994,576.813
669.1761174,317.259,137.762,193.423,214.81,222.684,240.435,257.083,324.697,159.045,267.303,194.918,163.182,384.855,572.027
692.4993856,319.112,140.35,202.47,193.423,248.699,240.435,291.817,366.934,168.77,270.748,174.439,167.365,407.26,564.879
675.2345141,298.992,148.238,187.491,194.918,230.679,277.695,270.748,262.171,184.556,260.47,164.571,180.19,434.444,559.899
769.2442804,302.608,153.6,217.945,184.556,199.434,300.798,269.023,313.568,205.525,313.568,180.19,187.491,440.825,541.337
890.9188358,324.697,153.6,194.918,170.18,202.47,291.817,274.212,458.038,217.945,382.846,181.64,190.447,451.55,541.337
805.3599619,328.444,196.419,214.81,173.015,205.525,274.212,253.715,421.803,208.6,370.885,177.305,202.47,458.038,546.01
922.3931949,332.21,175.869,224.273,174.439,211.696,284.718,260.47,423.898,205.525,428.103,177.305,216.375,415.543,548.354
810.8473336,328.444,237.164,221.099,173.015,200.95,315.411,202.47,384.855,202.47,409.324,184.556,225.867,409.324,553.054
735.7597309,403.145,240.435,202.47,177.305,178.745,330.325,279.443,372.867,199.434,351.316,202.47,214.81,419.711,560.136
686.6501259,399.049,233.912,199.434,214.81,180.19,401.095,270.748,370.885,193.423,320.969,232.293,188.967,415.543,567.257
843.6990928,436.566,211.696,194.918,164.571,227.466,534.359,277.695,364.966,170.18,284.718,302.608,180.19,411.392,567.257
871.8770943,453.708,211.696,191.932,149.571,242.078,610.802,311.73,324.697,180.19,267.303,309.896,165.966,409.324,567.257
864.1978144,534.359,211.696,187.491,146.91,227.466,529.729,349.385,309.896,181.64,258.774,306.243,187.491,440.825,567.257
860.3923564,581.617,190.447,177.305,161.798,258.774,357.139,417.625,394.971,165.966,272.477,281.197,281.197,451.55,567.257
811.3626039,497.808,187.491,173.015,164.571,302.608,378.84,315.411,378.84,164.571,253.715,250.366,355.193,451.55,567.257
721.6991716,449.396,227.466,196.419,181.64,298.992,359.088,335.994,337.893,167.365,245.379,265.587,306.243,453.708,567.257
661.1405487,477.744,267.303,186.021,217.945,374.853,378.84,543.671,349.385,202.47,242.078,272.477,330.325,455.871,541.337
872.7938632,403.145,202.47,207.06,149.571,370.885,345.536,397.008,386.869,202.47,260.47,295.395,334.1,455.871,567.257
