1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983
2680,3940,2381,2273,2560,2410,,3020,6886,3100,3603,3120,2034,,,1250.376,1069.682
2630,3940,2318,2093,2820,2327,,3416,6466,3170,4056,2742,2724,,,1296.125,1180.161
3522,4450,2390,2690,3350,2147,,3559,6186,3120,4008,2860,2544,,,1342.704,1237.457
3310,4061,3130,3170,3420,2420,,4322,6130,3220,4800,2860,2688,,,1369.694,1410.687
3764,3764,3478,3160,3995,2345,,4940,6354,3240,5528,2733,2472,,,1390.114,1417.579
3874,3874,4510,3150,4149,2237,,4374,6690,3482,4348,2850,2409.9,,,1537.33,1515.841
3808,3951,4510,3090,4226,2273,,3625,6480,4104,3482,3750,2391,,,1729.969,1595.381
3390,4039,4378,3230,3764,2327,,3290,6452,4104,4218,3372,2796,,,2015.665,1566.22
3130,4627,4318,3566,3775,2590,,3592,6074,4231,4244,3603,3020,,,2522.359,1745.263
4072,5446,5186,4174,3300,2530,,4104,6354,4153,5038,4608,3757,,,2739.17,2115.797
4731,5459,5641,4259,3370,2710,,4166,6508,4192,4816,4842,4056,,,2385.822,2288.133
4330,5342,5212,5485,3330,2710,,4786,6536,4205,4828,4543,3691,,,2777.798,2141.213
3874,500,4926,5922,3764,2550,,4982,6396,3900,4504,4080,4205,,,3189.49,2288.133
4770,5251,6145,5824,4270,2940,,5640,7264,,4140,4056,4543,,,2865.71,2476.42
5824,6010,6160,5212,4083,3350,,5206,7488,,3984,3559,4504,,,2634.352,2643.795
5980,5936,7585,5277,3918,3599,,4439,7348,4768,3996,4032,4996,,,2559.417,2975.036
4939,5667,8636,4294,3962,3665,,5346,6592,5178,3900,3984,4800,,,2826.467,3179.107
5134,5852,7872,3442,4510,3709,,6116,6494,5892,3900,3948,4926,,,3086.429,3189.49
6040,6160,7345,5745,6700,3654,,5262,6186,4153,4008,3960,5668,,,2935.042,2985.077
5498,5134,6385,5732,7954,3907,,5220,6228,4478,4128,4116,5164,,,2787.498,3106.904
5745,4770,6655,5550,7744,3621,,5472,6130,5934,4244,4361,4452,,,2905.225,2925.086
5537,4991,6370,5277,6760,3698,,5808,6774,,4608,4582,4218,,,3220.741,3241.661
5922,5472,6460,5693,5277,4028,,5948,6228,,5122,4153,3960,,,3336.647,3241.661
5654,5950,7150,6355,6055,3984,,6662,6228,,5290,4582,3936,,,3798.239,3498.036
5719,5880,7120,4995,6460,3555,,7735,6774,,5850,4926,4530,,,4182.109,4005.31
6220,5381,8277,8175,6295,3687,,7814,6102,,7110,4730,4800,,,3508.932,3674.428
6460,5134,7045,7648,6160,3731,,7082,8350,,7334,4800,4517,,,3379.308,3730.449
6280,5264,7270,8962,6040,3698,,6326,6214,,7418,4898,4419,,,4241.899,4052.079
5880,5251,7000,6805,6490,4848,,7096,6354,,6858,4772,4543,,,3958.814,4229.907
6280,4991,8277,7135,6640,5316,,7068,6144,,5570,5248,5122,,,3775.574,4265.936
5810,5251,9750,7510,6565,4705,,6550,5262,,6242,5962,5346,,,3866.646,4290.04
5852,5511,10000,7150,7120,4498,,6634,6130,,6424,5570,4968,,,3843.775,4411.592
5602,5225,9342,6985,7664,4426,,6480,6718,,5164,5136,5052,,,4005.31,1974.667
5628,5824,6925,7015,7030,3852,,6256,7306,,4898,5080,4452,,,4350.602,4497.699
5355,6100,6550,9266,6325,3852,,6886,7927,,4374,5206,3889,,,4485.347,4634.708
5550,5524,6565,9741,6250,3995,,6718,8063,,4044,5150,4044,,,4362.766,4812.087
6490,4874,6250,7776,5810,3808,,6480,6606,,4582,4530,3948,,,4863.384,5651.941
6790,5160,7480,7495,5368,4028,,5878,5150,,4179,4465,4032,,,4761.064,5418.596
6310,6554,7135,7480,5303,4237,,5416,5612,,3996,4543,3900,,,4510.069,5610.402
5894,5719,6355,6955,6010,3786,,4940,5570,,4283,4439,3867,,,4326.326,6515.243
5550,5225,6385,6595,5980,3350,,4361,5178,,4439,4192,3889,,,4547.281,6604.981
5654,4900,6010,6670,6475,3100,,5290,5024,4504,4413,4556,3984,,,4597.136,6589.981
5446,4588,5852,6520,6655,3250,,5570,3984,4491,4702,4634,4153,,,4460.693,6485.468
5303,4116,5433,6895,5732,2870,,5080,3948,5584,4758,4413,3812,,,4241.899,6500.347
5576,3896,5498,6775,5980,2670,,4595,3878,5570,4413,4205,4270,,,3993.66,6877.913
5758,3896,5082,6550,5880,2730,,4400,3924,5528,4387,4413,4068,,,3798.239,6816.779
6220,3808,4991,5589,5824,2990,,4660,3823,5542,4688,4413,3460,,,3618.835,6455.762
5615,3544,4536,5936,5732,2920,,4244,3636,5472,4744,4569,3383,,,3552.688,6337.627
6430,3533,4378,5706,5980,2820,,4361,3912,5416,4556,4856,3438,,,3596.717,6235.162
6040,3412,4731,5511,5394,2780,,4702,3878,5388,4491,4348,3300,,,3400.741,6104.661
6400,3478,5134,5368,5108,3130,,4996,3614,5332,4556,4104,3190,,,3498.036,5961.294
5866,3665,5290,4861,4936,3120,,5108,3548,5276,3887,3735,2890,,,3476.295,6090.247
5797,3599,5043,4887,5680,3110,,5276,3504,5248,4231,3515,2960,,,3530.776,6500.347
5654,3665,4991,4978,5472,3030,,5388,3427,5192,4166,3647,3060,,,3719.21,6786.316
5420,3797,4861,4731,4390,2990,,4954,3361,5136,4192,3702,3300,,,3641.021,6740.749
5459,3742,4770,4900,4237,2870,,5444,2940,5122,4361,3912,3416,,,3422.242,6650.082
5043,3698,4978,5147,3984,3120,,4800,2870,5108,4426,4068,3290,,,3252.147,6604.981
4822,3830,4588,5134,3951,3380,,4296,2980,5052,4361,4128,3330,,,3086.429,6665.15
5004,3720,4822,4848,4094,3500,,4244,2860,4996,4361,4465,3340,,,3168.741,6939.323
5108,3522,4809,4835,4204,3140,,4348,2850,4926,4374,4758,3460,,,3231.193,7250.506
5004,3632,4342,4229,4215,2970,,4205,2823,4940,4283,4996,3746,,,3304.831,7649.181
4822,3742,4017,4116,4474,2760,,4140,2878,4926,4179,4842,3801,,,3252.147,7893.558
5108,3929,3841,3885,4402,2620,,4465,2526,4870,4218,4465,3581,,,3106.904,7942.9
5173,3610,3797,4127,4193,2480,,4032,2274,4828,4322,4218,3625,,,3076.217,7746.466
4874,3808,3555,4226,4138,2530,,4400,2247,4772,4348,4020,3559,,,2945.014,7536.466
4861,3808,3478,3984,3918,2770,,5094,1946,4758,4335,3823,3361,,,2777.798,7376.91
4978,3588,3643,4270,3676,2880,,4608,1930,4688,4205,3948,3150,,,2700.816,7234.784
4965,3610,3610,3852,3566,3200,,4426,1898,4634,4056,3845,3190,,,2531.598,6954.719
4887,3918,4462,3555,3380,3456,,4491,1874,4595,3936,3856,3270,,,2578.048,6816.779
4952,4028,3676,3160,3401,3360,,4257,1794,4556,3812,3823,3100,,,2748.802,6574.999
4926,3896,3140,3370,3260,3100,,4218,1702,4517,3669,3856,2832,,,2710.379,6352.333
4354,3588,2980,3588,3350,2630,,4688,1681,4517,3493,4257,2697,,,2559.417,6206.041
4138,3830,2790,3599,3250,2430,,4660,1723,4413,3290,4517,2796,,,2430.908,5989.83
3918,3830,2700,3819,3200,2390,,4621,1625,4309,3110,4128,2890,,,2270.592,5833.735
,,,,,,,,,,,,,,,,
3808,4149,2500,3918,3150,2120,,4104,1604,4283,3040,4413,2990,,,2082.148,5693.636
3652,3951,2354,4083,3090,1949,,3801,1576,4257,2950,4413,2796,,,1999.215,5596.59
4028,3698,2210,3863,3070,1852,,3603,1597,,2850,4556,2589,,,2032.184,5486.711
4462,3687,2120,3698,2930,1780,,3350,1611,,2724,4426,2328,,,2270.592,5391.47
,3632,2066,3200,2870,1804,,3702,1590,,2634,4348,2082,,,2449.062,5283.654
5420,3709,2165,3070,3140,1836,,3438,1618,,2643,3972,1922,,,2578.048,5203.514
6295,3907,2084,3240,3330,1772,,3160,1604,,2706,3834,1794,,,2578.048,5123.992
7030,3907,2039,3360,2950,1692,,3020,1625,,2697,3889,1688,,,2615.516,5058.196
7030,3676,1958,3643,2740,1564,,2661,1576,,2634,3658,1604,,,2710.379,4979.808
6850,3180,1994,3270,2590,1466,,2499,1583,,2526,3581,1527,,,2700.816,4812.087
5745,2910,1836,3230,2460,1389,,2337,1597,,2427,3471,1506,,,2485.574,3262.649
5069,2700,1812,3110,2410,1375,,2211,1604,,2409,3350,1499,,,2270.592,3035.539
4731,2460,1748,3090,2210,1284,,2074,1590,,2409,3110,1422,,,2305.741,2995.135
4354,2264,1636,2870,2138,1235,,2002,1611,,2409,2880,1387,,,2305.741,2965.011
3984,2120,1557,2710,2030,1186,,1922,1583,,2436,2733,1366,,,2201.113,2965.011
3665,2003,1375,2530,1924,1124,,1942,1569,,2400,2778,1352,,,1729.969,2985.077
3555,1892,1459,2390,1892,1094,,1770,1576,,2392,2733,1298,,,1573.485,3045.683
3350,1796,1424,2580,1780,1094,,1709,1555,,2157,2652,1345,,,1692.031,3005.211
3210,1724,1375,2460,1708,1070,,1667,1562,,2122,2472,1408,,,1999.215,2985.077
3010,1668,1368,2264,1700,1118,,1625,1625,,2122,2220,1422,,,2261.848,2965.011
2790,1628,1368,2093,1668,1082,,1562,1611,,2130,2050,1443,,,2513.137,2945.014
2610,1592,1347,1994,1620,1052,,1513,1597,,2148,1938,1443,,,2691.27,2935.042
2490,1550,1354,1908,1652,1064,,1464,1590,,2130,1874,1576,,,2846.054,2925.086
2363,1494,1319,1940,1578,1010,,1415,1548,,2139,1818,1499,,,2985.077,2875.563
2246,1417,1291,1836,1564,968,,1373,1569,,2098,1770,1506,,,3106.904,2875.563
2156,1368,1235,1892,1585,950,,1345,1583,,2090,1695,1485,,,3210.307,2865.71
2066,1326,1207,1868,1772,914,,1331,1562,1082,2114,1653,1408,,,3315.419,2846.054
2003,1319,1137,1836,1884,884,,1298,1534,1070,2202,1597,1310,,,3400.741,2826.467
1932,1094,1070,1764,1884,872,,1286,1548,1058,2409,1541,1232,,,3487.157,2806.948
1876,1284,118,1684,1876,836,,1298,1541,1028,2616,1499,1172,,,3552.688,2797.215
1796,1221,1064,1724,1812,824,,1331,1520,998,2661,1492,1124,,,3629.919,2777.798
1716,1165,1046,1644,1652,872,,1352,1506,980,2742,1478,1070,,,3707.989,2758.45
1628,1118,998,1592,1564,920,,1286,1076,962,2880,1408,1028,,,3775.574,2739.17
1564,1082,956,1543,1515,854,,1220,1436,950,2920,1338,992,,,3843.775,2719.959
1522,1046,950,1473,1494,812,,1196,1366,944,2832,1280,956,,,3843.775,2700.816
1480,980,914,1389,1403,818,,1196,1380,920,2634,1232,926,,,3843.775,2681.741
1452,986,878,1319,1249,836,,1124,1352,908,2409,1190,908,,,3843.775,2672.229
1410,962,758,1284,1221,806,,1070,1324,884,2193,1154,890,,,3855.202,2653.256
1382,926,728,1228,1193,776,,1034,1310,878,2026,1118,872,,,3912.593,2634.352
1354,890,740,1193,1172,758,,1004,1292,872,1898,1088,848,,,3970.413,2624.925
1340,872,752,1151,1158,734,,974,1274,860,1778,1064,,,,3993.66,2606.123
1312,842,860,1130,1112,728,,944,1250,854,1660,1040,,,,4028.66,2587.39
1377,724,812,1082,1076,704,,920,1226,842,1562,1016,,,,4040.361,2550.127
1242,794,788,1034,1058,698,,908,1160,830,1485,998,,,,,2522.359
1235,770,746,998,1221,692,,878,1112,824,1415,980,,,,,2503.933
1284,734,740,974,1165,668,,848,1070,831,1352,956,,,,,2485.574
1410,722,716,932,1165,668,,830,1052,803,1298,968,,,,,2458.164
1606,692,698,908,1186,668,,813,1040,803,1250,974,,,,,2430.908
1908,692,692,884,1151,662,,798,1034,793,1202,974,,,,,2412.823
1684,728,656,860,1130,620,,783,1028,778,1160,974,,,,,2403.805
1529,740,674,836,1118,585,,773,1010,758.2,1118,932,,,,,2385.822
1452,746,625,812,1182,560,,748.6,968,748.6,1082,896,,,,,2367.907
1424,752,610,782,1082,555,,725.4,968,743.9,1046,860,,,,,2350.06
1424,752,734,770,1052,555,,711.6,878,739.2,1010,830,,,,,2323.417
1522,740,728,746,992,555,,693.2,830,730,974,808,,,,,2314.571
1445,716,645,728,956,55,,679.4,803,720,944,511.8,,,,,2305.741
1361,674,575,722,866,54,,665.6,783,711.6,908,507.4,,,,,2288.133
1256,645,550,692,848,545,,661,773,702.4,884,503,,,,,2261.848
1200,620,540,674,836,550,,647.2,739.2,693.2,860,516.2,,,,,2235.717
1200,600,525,650,818,540,,633.4,730,679.4,836,529.4,,,,,2201.113
1214,580,540,635,794,515,,624.2,725.4,665.6,818,525,,,,,2166.782
,,,,,,,,,,,,,,,,
1242,560,525,620,752,545,,615,716.2,656.4,803,529.4,,,,,2149.719
1186,545,505,605,734,472,,605,711.6,651.8,783,53.8,,,,,2132.724
1106,535,496,590,686,444,,596.6,697.8,633.4,763.1,542.6,,,,,2098.938
1058,520,484,580,662,432,,592,688.6,628.8,739.2,542.6,,,,,2057.089
1010,510,464,565,635,408,,578.5,684,610.4,725.4,547,,,,,2032.184
